activity_id,account_id,contact_id,opportunity_id,activity_type,activity_dt,subject,note,campaign_id
ACT-N7XC1FRBAY,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,email,2023-03-21T11:32:04,Discovery Call,Reviewed pricing.,
ACT-VX6ZU3WI2F,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,email,2023-03-18T19:18:32,Demo,Exec sponsor requested summary.,
ACT-YWBRAT247F,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,call,2023-03-03T08:42:24,Pricing,Discussed ROI.,
ACT-W1QC7ISQTN,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,email,2023-03-22T07:18:47,Pricing,Exec sponsor requested summary.,
ACT-X75S0VTICW,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,email,2023-03-30T10:51:31,Procurement,Discussed ROI.,
ACT-4V3PDFHKRF,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,email,2023-03-14T18:50:18,Security Review,Legal concerns.,
ACT-15TF16AMM7,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,email,2023-03-07T03:17:38,Demo,Discussed ROI.,
ACT-G0QW6FUP54,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,meeting,2023-03-02T16:08:27,Discovery Call,Discussed ROI.,CAM-78RD9L
ACT-8XGK721C9V,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,call,2023-03-06T00:02:29,Security Review,Aligned pilot scope.,
ACT-AV4B9QUM2K,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,meeting,2023-03-09T22:57:03,Executive Sync,Shared SOC2.,
ACT-HI98R9CJK6,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,call,2023-03-27T00:03:34,Pricing,Exec sponsor requested summary.,CAM-BJ5FEG
ACT-P2GGLEXEBF,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,call,2023-03-06T03:31:57,Pilot Discussion,Discussed ROI.,
ACT-U2JF7XHEDV,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,call,2023-04-03T07:50:35,Procurement,Aligned pilot scope.,
ACT-TM122LPHTU,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,email,2023-03-22T13:00:34,Demo,Shared SOC2.,
ACT-1NPUV8A43E,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,email,2023-03-18T21:41:05,Pilot Discussion,Exec sponsor requested summary.,
ACT-CUZZ71P6HC,ACC-6G5M0O1Y,CON-JYKFJ7MI,OPP-5YD5DAVT,note,2023-03-25T08:17:59,Pricing,Discussed ROI.,CAM-AWVN21
ACT-FT4ISQPP8F,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,call,2024-09-27T09:27:04,Procurement,Aligned pilot scope.,
ACT-C8LJV5JHM2,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,email,2024-08-08T17:01:53,Pricing,Discussed ROI.,
ACT-NLEN9UOJGZ,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,email,2024-06-27T01:10:41,Security Review,Reviewed pricing.,
ACT-DRHCQPZ3SF,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,meeting,2025-06-04T09:01:55,Executive Sync,Shared SOC2.,CAM-TTHZIN
ACT-O6FOMXE15Z,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,meeting,2024-06-01T14:11:32,Security Review,Discussed ROI.,
ACT-P3UWZHJBPJ,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,meeting,2024-07-29T12:17:55,Discovery Call,Aligned pilot scope.,
ACT-RJUD268OTJ,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,meeting,2025-10-12T03:39:00,Demo,Discussed ROI.,
ACT-O7XSN0QT9P,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,email,2025-09-24T14:36:13,Executive Sync,Legal concerns.,
ACT-J1YR0FRFCW,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,email,2025-02-16T08:52:52,Executive Sync,Legal concerns.,
ACT-IQK5H8X66P,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,call,2025-10-05T14:34:41,Follow-up,Discussed ROI.,CAM-PVC9WQ
ACT-GF9LH17GZ9,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,email,2025-05-11T00:04:09,Pilot Discussion,Shared SOC2.,
ACT-HBMG7OCD68,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,meeting,2025-03-19T03:48:31,Pilot Discussion,Reviewed pricing.,CAM-A661TU
ACT-5Q4RCRPUM0,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,call,2025-02-13T03:15:34,Follow-up,Exec sponsor requested summary.,
ACT-QD7AJP0C27,ACC-I4E88RVM,CON-DSBYFV2J,OPP-PNVN7Z3D,email,2025-04-29T09:01:02,Security Review,Aligned pilot scope.,CAM-OAHGRY
ACT-7B4DNKIQVN,ACC-W56KJMHT,CON-XJHSXZF0,OPP-8DPPS515,call,2023-07-24T06:20:22,Demo,Aligned pilot scope.,CAM-TSR66Y
ACT-G7IYD8BAB1,ACC-W56KJMHT,CON-XJHSXZF0,OPP-8DPPS515,meeting,2023-07-11T22:54:41,Pilot Discussion,Discussed ROI.,CAM-B8R3HU
ACT-4ZAE0EGIEV,ACC-W56KJMHT,CON-XJHSXZF0,OPP-8DPPS515,meeting,2023-07-16T22:56:10,Pilot Discussion,Legal concerns.,CAM-43ZAIG
ACT-2FBNFUH9QT,ACC-W56KJMHT,CON-XJHSXZF0,OPP-8DPPS515,email,2023-08-16T08:04:37,Executive Sync,Discussed ROI.,CAM-KIPTF5
ACT-HZFGZDLHB4,ACC-W56KJMHT,CON-XJHSXZF0,OPP-8DPPS515,email,2023-07-14T10:00:23,Discovery Call,Aligned pilot scope.,CAM-64GH3E
ACT-V77Q9ETHSU,ACC-W56KJMHT,CON-XJHSXZF0,OPP-8DPPS515,meeting,2023-07-13T05:33:11,Procurement,Legal concerns.,
ACT-CN3QTZK44K,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,call,2024-08-29T06:33:50,Demo,Shared SOC2.,
ACT-0X6Z57RDY6,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,email,2024-09-29T10:30:29,Security Review,Shared SOC2.,
ACT-2B99NGHFMO,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,call,2024-09-15T16:03:23,Follow-up,Legal concerns.,
ACT-O8Y0HPI4BI,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,call,2024-08-16T21:37:49,Pilot Discussion,Exec sponsor requested summary.,CAM-GCKI29
ACT-WWC9NYYQMY,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,call,2024-09-05T03:57:44,Procurement,Legal concerns.,CAM-RCE27T
ACT-HM6P2YAT07,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,email,2024-09-18T15:02:29,Executive Sync,Discussed ROI.,
ACT-0U1815GNGJ,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,call,2024-09-01T01:06:34,Procurement,Aligned pilot scope.,CAM-DFDTLZ
ACT-TB2RG0LPUE,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,email,2024-09-15T02:14:38,Pricing,Legal concerns.,
ACT-1V41D10HFM,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,meeting,2024-09-13T18:59:03,Pilot Discussion,Legal concerns.,
ACT-OU016XRYQ8,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,email,2024-08-31T16:26:54,Pilot Discussion,Shared SOC2.,
ACT-J4EFYKUX3M,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,call,2024-08-17T15:27:59,Procurement,Discussed ROI.,
ACT-IQYBB1G3UR,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,call,2024-09-18T04:35:04,Pilot Discussion,Aligned pilot scope.,
ACT-7QA1LEF07Y,ACC-I3LD1TBX,CON-BXRYS7AI,OPP-R5K0TU8V,meeting,2024-09-05T06:06:31,Pilot Discussion,Legal concerns.,CAM-CAJ5NK
ACT-JTEHIUGT33,ACC-2VN10QK3,CON-OVBOJ6BV,OPP-8MJU6271,call,2025-05-22T16:32:37,Pilot Discussion,Discussed ROI.,
ACT-3RA2JLZ3TU,ACC-2VN10QK3,CON-OVBOJ6BV,OPP-8MJU6271,call,2025-08-05T21:15:37,Pricing,Reviewed pricing.,
ACT-D23A7EWQ25,ACC-2VN10QK3,CON-OVBOJ6BV,OPP-8MJU6271,meeting,2025-05-29T03:38:25,Executive Sync,Legal concerns.,
ACT-R3P7UDX0YL,ACC-2VN10QK3,CON-OVBOJ6BV,OPP-8MJU6271,call,2025-07-27T16:15:52,Pricing,Exec sponsor requested summary.,
ACT-UCOP13QRCN,ACC-2VN10QK3,CON-OVBOJ6BV,OPP-8MJU6271,call,2025-06-21T17:59:41,Follow-up,Discussed ROI.,
ACT-529W0WR7PG,ACC-2VN10QK3,CON-OVBOJ6BV,OPP-8MJU6271,email,2025-08-07T20:51:31,Executive Sync,Reviewed pricing.,
ACT-M1KSIUQOZY,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,meeting,2024-04-20T06:52:20,Discovery Call,Shared SOC2.,
ACT-ZB9SFLIV8Z,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,meeting,2024-04-26T03:15:10,Procurement,Legal concerns.,CAM-W0YYWU
ACT-8ZR2HQL3LV,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,call,2024-04-01T13:58:54,Follow-up,Aligned pilot scope.,
ACT-J8H5VZTZ4P,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,email,2024-03-24T04:45:26,Discovery Call,Legal concerns.,CAM-GHZ1Q3
ACT-UI3270PYNW,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,call,2024-04-13T13:31:52,Procurement,Shared SOC2.,CAM-Z3SD0U
ACT-60J0WBAMG7,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,call,2024-04-13T16:46:10,Pricing,Aligned pilot scope.,
ACT-AHAXPJ4G3G,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,call,2024-04-18T17:03:28,Procurement,Exec sponsor requested summary.,
ACT-RKYB0NZ9V4,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,meeting,2024-03-28T12:01:33,Demo,Aligned pilot scope.,
ACT-VPZSNW6J8B,ACC-33JJF1YS,CON-Y2LAM0X3,OPP-IIUJQ3QY,meeting,2024-03-15T00:44:55,Discovery Call,Exec sponsor requested summary.,
ACT-49P6PBVOAK,ACC-XKSN7EWF,CON-FT6H9XR2,OPP-UGY8MTH1,note,2025-03-30T22:57:56,Discovery Call,Reviewed pricing.,
ACT-7WO7WN0XO5,ACC-XKSN7EWF,CON-FT6H9XR2,OPP-UGY8MTH1,meeting,2025-05-08T00:10:38,Discovery Call,Aligned pilot scope.,
ACT-CUHND0K8JO,ACC-XKSN7EWF,CON-FT6H9XR2,OPP-UGY8MTH1,email,2024-02-10T04:35:41,Follow-up,Legal concerns.,CAM-B6T0A6
ACT-M8O3EK6W5S,ACC-XKSN7EWF,CON-FT6H9XR2,OPP-UGY8MTH1,email,2025-01-08T08:19:49,Follow-up,Reviewed pricing.,CAM-31E7RP
ACT-R7WL2S8PWR,ACC-XKSN7EWF,CON-FT6H9XR2,OPP-UGY8MTH1,note,2025-01-13T04:21:51,Demo,Exec sponsor requested summary.,CAM-E5WLY5
ACT-XC0I0HXEVA,ACC-XKSN7EWF,CON-FT6H9XR2,OPP-UGY8MTH1,email,2024-11-10T00:47:58,Executive Sync,Shared SOC2.,CAM-BULS2C
ACT-XQ2HJXL5BO,ACC-XKSN7EWF,CON-FT6H9XR2,OPP-UGY8MTH1,meeting,2024-10-19T05:16:41,Procurement,Shared SOC2.,
ACT-3BUZ36ZU4K,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,call,2025-01-16T08:57:49,Pilot Discussion,Reviewed pricing.,
ACT-WNPVZBIGXT,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,call,2024-12-13T23:35:47,Pricing,Aligned pilot scope.,CAM-GJ8ZMS
ACT-4RADOIJD4R,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,call,2024-12-30T08:10:06,Demo,Discussed ROI.,
ACT-4QH1N00YGW,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,call,2024-12-29T15:19:10,Security Review,Discussed ROI.,
ACT-07BXBVJG2F,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,call,2025-01-11T23:41:43,Executive Sync,Exec sponsor requested summary.,
ACT-Q6JE68WF1S,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,email,2025-01-08T06:56:23,Security Review,Legal concerns.,
ACT-XR62P4P6AL,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,meeting,2024-12-21T05:27:36,Follow-up,Reviewed pricing.,
ACT-9JJKPR2EA2,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,meeting,2024-12-11T07:05:23,Pricing,Shared SOC2.,
ACT-W4GZMF1YMH,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,meeting,2025-01-21T15:49:26,Procurement,Reviewed pricing.,
ACT-8RHLZB1155,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,meeting,2025-01-19T12:45:41,Procurement,Exec sponsor requested summary.,
ACT-RJVR3JDOC4,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,meeting,2025-01-03T12:59:41,Security Review,Exec sponsor requested summary.,
ACT-7AYOWX4SBD,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,email,2024-12-31T11:17:06,Procurement,Aligned pilot scope.,
ACT-F44I5KZ508,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,call,2024-12-08T12:55:48,Discovery Call,Legal concerns.,CAM-DMWHJQ
ACT-BGYFJDZ94T,ACC-BW0X7HUB,CON-GB6GKGJO,OPP-1ZOA1FL0,call,2024-12-12T06:21:10,Pilot Discussion,Aligned pilot scope.,
ACT-G21PNSEI8K,ACC-F51BI9A9,CON-COS0KS7O,OPP-TKZLQ1J0,email,2023-07-08T11:40:17,Security Review,Shared SOC2.,
ACT-M68EJFKX6D,ACC-F51BI9A9,CON-COS0KS7O,OPP-TKZLQ1J0,email,2023-06-02T11:38:02,Discovery Call,Reviewed pricing.,
ACT-SNB8405DVD,ACC-F51BI9A9,CON-COS0KS7O,OPP-TKZLQ1J0,email,2023-05-30T04:40:42,Demo,Shared SOC2.,
ACT-7SJCYR6MGI,ACC-F51BI9A9,CON-COS0KS7O,OPP-TKZLQ1J0,call,2023-06-22T14:07:20,Pricing,Exec sponsor requested summary.,
ACT-1V3K3CKC0Y,ACC-F51BI9A9,CON-COS0KS7O,OPP-TKZLQ1J0,call,2023-05-26T01:31:04,Discovery Call,Discussed ROI.,
ACT-KHGQ4IZ7OI,ACC-F51BI9A9,CON-COS0KS7O,OPP-TKZLQ1J0,meeting,2023-07-19T03:09:21,Pilot Discussion,Aligned pilot scope.,
ACT-G9D3G43DPF,ACC-F51BI9A9,CON-COS0KS7O,OPP-TKZLQ1J0,meeting,2023-07-06T07:33:17,Executive Sync,Legal concerns.,CAM-QBYKNN
